sentence_index	path	sentence
0	unknown_0	hija deskritta bħala t-tislima Nażista bil-maqlub.
1	unknown_1	""" Ma tistax isservi lil ħaddieħor jekk int għażżien jew trid tikkontrolla ""."""
2	unknown_2	Dan narawh ħafna fi Sqallija u f'Calabria.
3	unknown_3	Li tgħin lil ħaddieħor u tixtieq li għajrek jilħaq il-milja tiegħu wkoll?
4	unknown_4	Ħareġ umbad li George Farrugia fetaħ kont bankarju fi New York bil-moħbi.
5	unknown_5	dak li għandhom x'joffru l-gżejjer Maltin.
6	unknown_6	Kien jidher magħdur u fi stat ħażin ħafna.
7	unknown_7	hu simbolu tal-awtorità tal-Arċisqof metropolita f'kommunjoni mal-Knisja ta' Ruma.
8	unknown_8	Imbagħad tista' ssir riflessjoni fuq l-istatistika.
9	unknown_9	Ilni nsegwi l-World Cup minn mindu kelli tmien snin.
10	unknown_10	Nerġa' ngħid li ma naqbilx li m'hemmx bżonn ta' hotel school.
11	unknown_11	Tkellmet magħna dwar xi tfisser li tkun Imħallef Mara.
12	unknown_12	Dan sar waqt quddiesa organizzata mill-Moviment ta' Kana.
13	unknown_13	Grazzi lil Louis Grech li se jassumi din ir-responsabbilta.
14	unknown_14	Din il-karozza kienet tintuża mill-Ministru preċedenti ta' l-Affarijiet Barranin.
15	unknown_15	L-avukati Franco debono, Marion Camilleri u Angie Muscat dehru għal Repaci.
16	unknown_16	ħadd ma jitkellem!
17	unknown_17	""" Ġej għall-aħjar iżda hu diffiċli ħafna "" qal il-Franċiż."""
18	unknown_18	Il-ħabs għandu jinbidel.
19	unknown_19	Qal li din l-attitudni pożittiva fuq bażi volontarja hija inkoraġġjanti.
20	unknown_20	S'issa aħna mhux bravi konna.
21	unknown_21	Hemm ċerta inekwità f'din l-istorja.
22	unknown_22	Qed jittieħdu ħafna inizjattivi, bla dubju, imma għandhom bżonn iktar sapport.
23	unknown_23	Tama għall-Afrikani.
24	unknown_24	Din hi d-diżonesta`.
25	unknown_25	Min jaf kif u biex se jimlewha!
26	unknown_26	"Għandek l-Internet quddiemek: ikteb "" European Youth Week ""!"
27	unknown_27	Bil-Malti qed nitkellem!
28	unknown_28	Iva, imma jiena qed nispjega.
29	unknown_29	U ċertament din hija xi ħaġa li ma tistax tittolleraha.
30	unknown_30	L-Ambaxxatur ma setax jirritorna Tripoli għaliex ingħalaq l-ajruport.
31	unknown_31	Imma ħalli niġi lura għall-ħsieb wara din il-website.
32	unknown_32	Jista' l-Prim Ministru jgħid jekk hux se jiġi segwit dan il-parir?
33	unknown_33	Sur Awditur, l-aħħar domanda qabel ma ngħaddi għan-naħa tal-Gvern.
34	unknown_34	Żeffien żagħżugħ irnexxielu jkompli jara bl-għajnuna ta' Google Glass.
35	unknown_35	Kellha fidi qawwija li l-Mulej kien qed iħarisna u kien qed jgħinna.
36	unknown_36	Anke t-tifel tagħha talab għal ħelsien ta' ommu.
37	unknown_37	Għaldaqstant, irridu noqogħdu attenti kif nikkwotaw l-istudji li jsiru.
38	unknown_38	Taħt l-ebda cirkustanza ma ngħadduha lil terzi persuni.
39	unknown_39	Assolutament ma informa lil ħadd!
40	unknown_40	Tista' l-Ministru tgħid kemm ingħataw direct orders f'dawn l-aħħar xahrejn?
41	unknown_41	Dawk li ma jikkonformawx, ibatu reliġjożament u fiżikament.
42	unknown_42	Mela rrispondihom inti.
43	unknown_43	Imma s-servizzi fil-komunità jinvolvu aktar nies.
44	unknown_44	Pereżempju lanqas għandna d-donor database bħalma għandhom f'ħafna pajjiżi żviluppati Ewropej.
45	unknown_45	Issa għaliex għamel hekk is-segretarjat, Sur President?
46	unknown_46	Simon Busuttil ta sinjal qawwi li rridu nittraduċu l-paroli f'fatti.
47	unknown_47	Jista' jgħid kemm hemm ħaddiema ta' nazzjonalità barranija jaħdmu fl-istess qasam?
48	unknown_48	Nibdew nagħmluha public display din it-trasparenza?
49	unknown_49	Iżda huwa importanti ħafna li jkun hemm iktar taħriġ!
50	unknown_50	Mela qbilna!
51	unknown_51	Skużani, rigress sar.
52	unknown_52	Jiena nħeġġeġ lill-Gvern sabiex jikkonsidra anke din il-miżura.
53	unknown_53	Kont inkun eċitat ħafna u ma kinitx toħroġ il-prestazzjoni li xtaqt.
54	unknown_54	Mela x'ġara xbin?
55	unknown_55	Semma wkoll kif tlieta minn sħabu kellhom jittieħdu l-isptar għall-kura.
56	unknown_56	Raħal wieħed fiċ-Ċina huwa akbar mill-popolazzjoni kollha ta' pajjiżna.
57	unknown_57	Xi tgħidli dwar il-poligamija?
58	unknown_58	Mhux se noqogħdu nistennew aktar ħin biex niddeċiedu.
59	unknown_59	U ma tarawx!
60	unknown_60	Student universitarju minn Kalifornja sab is-soluzzjoni meta kien fuq bajja.
61	unknown_61	Il-Eurovision kien il-ħolma tiegħi sa minn meta kont żgħira.
62	unknown_62	Il-bqija jekk jaqa' taħt il-kriterji ta' eliġibbiltà jista' jagħti d-demm.
63	unknown_63	Huwa suġġett għall-konfiska taħt dik il-proklama.
64	unknown_64	Logħob fil-każinò.
65	unknown_65	Ħafna mill-problemi li semma l-Prim Ministru ħoloqhom hu.
66	unknown_66	Bdejt naħseb x'kien li jagħmel tant differenza bejn persuna u oħra.
