sentence_id	sentence	sentence_domain	source
002fcc7cfba1f27ad4d082a342b22edbc815c60b99be1b0e5d7e31a6a25214ce	Qal li wieħed minnhom kelli basket li minnu waqa' xi lumi.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
0038fa09ff4f9752a683004ad2a9b8dc3008f632f20778869271a78e6fb48ee6	Imma konna nafu li jeħtiqilna niqru 'l bogħod kemm nifilħu.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.
0043ff30bc4e4d4c87e0a6197aa1bef76e7306f7a52c1de4cb9d533e843bdaec	li tiġi sparatha lejha.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
007c18c62f4c36f21d9416d6ec269d25dd275a88e40f5c64826d94520423d7a8	Francisco ħallsu u niżel.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00893c9c18ed281ea8dcdf31d4d4ee7081cbc96478c25310ab46b92f6c28e323	Is-siġra kienetwieqfa quddiemu bla titħarrek, b'qoxritha ħarxa fis-silenzju mħasseb.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
0089f6bd2ee010762d9a201207d668d073e5e649af23125d9c43df7a90e3a32a	Dan qalu l-kap tal-forzi Amerikani fl-Afrika, David Rodriguez.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
008d7d8bed17f6e7e112c5018c68dd24b51fa8ac26497706626cc93a55d9a8fb	Biż-żmien, mort l-Ingilterra fejn sibt għajnuna minn soċjeta' Lhudija.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
009216a992ff4f06e032bf4c731d9420cf696d9bb1bcfc1d06257bfc459e144e	Mhux postu hemm ġew.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
0092ac21bc7772a4119178dccadf4f1e39423f9d0c3ff339f4d0b0558a1b6b4b	Sa issa għadhom ma jafux jekk hemmx vittmi u xi ħsarat saru.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
0095857fa35e492f3b11815948c8f9b993a104f2c437aa12477416747b49836e	F'dan il-każ, meta tkun reġistrata għandha effetti li għandu żwieġ.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.
00a42b8a71f416c169df3a10f765cfadce98559e491c187db639ceb06414fceb	Huma kienu mixlija wkoll li saru reċedivi.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00a7444ca7870b45c1403aee15cfe54da9a6587d9ce2c4ab7286d2917f76c23f	Pietru ma kienx qiegħed jagħti kas.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00ab1bb5f76255d3a98f8cc090146f624ea70ef8ddcb8f3ccca0ab92f2e0cde8	Ix-xahar li għadda persuni mhux magħrufa ħebbew għar-raġel u darbuh.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00ac9aec50073ada07f66ddebc3d997ba9a31942a08ab573a3287ee5badac2f2	"""Julianne Moore, "" Still Alice """		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00b0de6e1c7cad3f4f83279a282160a486e359a9b3b11b5921adc5bde3dddb70	Ħutek u qrabatek qatt ma ħammru wiċċ ħadd.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00b59af24b090afdf30ec654fa7950f26eaf57f54f9fa961608bc6a16025da6c	Żomm il-kompjuter x'imkien fejn jista' jarah kulħadd.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00bb406fd99e77a1eab24410887a0899dc5a0f843fbb5782a66b7b8e2403a469	Iżda ma eskluda xejn.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00be8be502256695fa589f1c1bc5c1f9fd20d22d8edf9430e7d0604bd3c217fb	Hekk jitwieled l-inkwiet mal-kaċċaturi.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00c1b03708785cdadb70a9489267f9d1f50cf31c705a5fc1407b19affa145cfb	mal-privat.		MLRS Corpus - Parliamentary debates and records, Culture news, Opinion articles, Religious texts, Sports News and general news articles.
00c9146b03a8f292d00969fcd4f4e915b1c2b7a83321399a383aa0d236c4d9e1	L-erbgħa li aħna żżewwiġna erbà aħwa u bqajna naqblu ħafna.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
00c935ed77ae7d5f6a1955e44ffcb0febd27099466fac4c719b713f6b838e18e	Il-Paola Wolves huwa tim li mhu faċli xejn biex tirbaħlu.		Korpus Malti 3.0 (AKA. MLRS Corpus) - Opinion, Culture, Religion, News, Sport.
