clip	duration[ms]
common_voice_mt_40347712.mp3	4680
common_voice_mt_21728870.mp3	4896
common_voice_mt_22187421.mp3	6144
common_voice_mt_24872396.mp3	6516
common_voice_mt_21240876.mp3	4104
common_voice_mt_21375781.mp3	7296
common_voice_mt_21381125.mp3	5376
common_voice_mt_21487100.mp3	4776
common_voice_mt_21439190.mp3	6384
common_voice_mt_21716336.mp3	7176
common_voice_mt_24733866.mp3	4176
common_voice_mt_23783893.mp3	4056
common_voice_mt_21534888.mp3	5424
common_voice_mt_21458580.mp3	5376
common_voice_mt_21241267.mp3	3144
common_voice_mt_22256422.mp3	5184
common_voice_mt_25542765.mp3	6876
common_voice_mt_21178422.mp3	5304
common_voice_mt_21482723.mp3	3744
common_voice_mt_21407859.mp3	4656
common_voice_mt_21370110.mp3	4296
common_voice_mt_21331569.mp3	3744
common_voice_mt_21211194.mp3	4656
common_voice_mt_21179056.mp3	3096
common_voice_mt_21239921.mp3	3984
common_voice_mt_21235564.mp3	4464
common_voice_mt_21197880.mp3	3096
common_voice_mt_21208972.mp3	5472
common_voice_mt_21643596.mp3	3096
common_voice_mt_21572070.mp3	5424
common_voice_mt_21397688.mp3	5424
common_voice_mt_21372553.mp3	5016
common_voice_mt_21102864.mp3	5736
common_voice_mt_21261878.mp3	2664
common_voice_mt_21398083.mp3	4176
common_voice_mt_22356859.mp3	4344
common_voice_mt_21267215.mp3	4944
common_voice_mt_21446509.mp3	3984
common_voice_mt_21224735.mp3	4944
common_voice_mt_25110142.mp3	5652
common_voice_mt_21372301.mp3	5976
common_voice_mt_21765044.mp3	5304
common_voice_mt_21250934.mp3	5136
common_voice_mt_21372607.mp3	5136
common_voice_mt_21592816.mp3	4584
common_voice_mt_40329912.mp3	8388
common_voice_mt_22316471.mp3	6408
common_voice_mt_22254890.mp3	2904
common_voice_mt_23714322.mp3	5424
common_voice_mt_21330443.mp3	3504
common_voice_mt_21503790.mp3	5256
common_voice_mt_21842464.mp3	7224
common_voice_mt_21209473.mp3	3936
common_voice_mt_21399338.mp3	3456
common_voice_mt_21388921.mp3	6144
common_voice_mt_23787237.mp3	6144
common_voice_mt_21250942.mp3	5376
common_voice_mt_22255469.mp3	5496
common_voice_mt_22944548.mp3	5664
common_voice_mt_25542763.mp3	2952
common_voice_mt_21227890.mp3	4344
common_voice_mt_27737021.mp3	3888
common_voice_mt_21346361.mp3	5784
common_voice_mt_23817489.mp3	4896
common_voice_mt_21375847.mp3	4656
common_voice_mt_22167763.mp3	3864
common_voice_mt_21324815.mp3	4560
common_voice_mt_22256439.mp3	4176
common_voice_mt_21241444.mp3	3936
common_voice_mt_21173417.mp3	2736
common_voice_mt_21678288.mp3	4824
common_voice_mt_22463655.mp3	4752
